epoch,year,xfg_price,oracle_price,oracle_stale,redemption_price,heat_price,peg_deviation,swap_volume,total_fees,cd_pool,swf_balance,yem_reserve,treasury,heat_supply,pool_xfg,pool_heat,cd_locked,cd_apy_mean,cd_apy_min,bonds_outstanding,bond_migrations_remaining,xfg_burned,heat_burned_lifetime,lag_complete,organic_rate,rolling_avg_rate,payout_queue_len,solvent
0,0,3.4001322405970993,3.3119705068910665,0,0.4770573882564974,1.5683008012460424,0.0074045561733909115,6405.541935330845,64.05541935330845,0.0,54.447106450312184,0.0,29976.242874404896,88470.78194472636,5054.338729590313,10957.987176774055,81356.97235316836,0.02442715514055147,0.024427155140551403,0.0,50000,0.0,136.81299198251372,0,0.0,0.0,0,1
1,0,3.4762422097289636,3.5186763608320786,0,0.4490324877808227,1.5624243914050382,0.01112380290820372,4821.687231212963,48.216872312129624,0.0,95.43144791562236,0.0,30005.410894590754,88514.55466399285,4989.434088627375,11101.005256292567,81649.27328635335,0.04266110044487575,0.042661100444875574,0.0,50000,24.108436156064815,144.04552282933315,0,0.0,0.0,0,1
2,0,3.3789030918470937,3.3239392267466834,0,0.47533961730895735,1.5363713033603144,0.02761309913904159,3850.349471007707,38.50349471007707,0.0,128.1594184191879,0.0,29989.85818555906,88412.3458556569,5018.515869071366,11037.096793854995,81911.01805234762,0.057108541482305035,0.057108541482305375,0.0,50000,24.108436156064815,246.25433116530624,1,0.0,0.0,0,1
3,0,3.3790855755128133,3.3955542103251433,0,0.46531432047103327,1.5772713480079348,0.001726994931686892,3584.485180245255,35.84485180245255,0.0,129.30190270426397,0.0716897036049051,30054.09187592146,88611.31189018596,5085.057817320807,10894.032623403089,82383.8371282177,2.598245741356867,2.5982457413568567,0.0,50000,42.03086205729109,251.63105893567413,1,0.00034807654561334005,0.00034807654561334005,0,1
4,0,3.473159431173435,3.495955075941389,0,0.451950887719728,1.595927066702463,0.01008042196358412,4526.290209457555,45.26290209457555,0.0,133.40453299906383,0.8095699135321697,30266.714033348842,89319.56823940533,5045.848864171332,10981.101791251036,82634.27760307917,2.928834054294155,2.9288340542941427,0.0,50000,226.5009145391072,251.63105893567413,1,0.000438199772854445,0.0003931381592338925,0,1
5,0,3.6392677455517783,3.6657667028362853,0,0.4310148812191237,1.587659760246912,0.004847949523361994,6879.182767661527,68.79182767661527,0.0,145.4213877478113,2.2032678533918886,30557.21421679314,90413.3806692721,4917.167523949893,11271.236833893518,82830.8624621584,3.59407871199098,3.594078711991014,0.0,50000,574.9253995040369,251.63105893567413,1,0.0006644076918362943,0.00048356133676802647,0,1
6,0,3.4900756491313634,3.499853072015538,0,0.45144752293561013,1.5865593728082645,0.004151501777382572,3600.326630806796,36.00326630806796,0.0,135.10749886217434,2.2032678533918886,30547.94847767756,90445.86693621497,5019.580464411897,11041.953958956314,83201.92123478213,3.5846467121806076,3.5846467121806342,0.0,50000,574.9253995040369,309.6197772872653,1,0.0003461772591185501,0.00048292824126976316,0,1
7,0,3.5765835329758726,3.48842150958954,0,0.4529269171333336,1.6422091663842133,0.03937289011659067,4607.297192125173,46.07297192125173,0.0,133.16174426032248,2.8216672705055528,30679.174252971316,90945.47937105496,5045.075527878277,10987.719728393828,83519.74505074916,3.591147170838651,3.591147170838629,0.0,50000,729.525253782453,309.6197772872653,1,0.0004413133387153553,0.00048396609655673327,0,1
8,0,3.391257436786146,3.375723799443496,0,0.46804777104704787,1.5906989496388269,0.006771487113181507,2443.531144332296,24.435311443322963,0.0,124.6934328217219,2.8705378933921986,30684.837488352478,91019.20131937374,5099.289298260113,10871.323426079489,84002.24317101222,2.536671464390655,2.5366714643906376,0.0,50000,741.7429095041144,323.20152577190026,1,0.0002327110374286308,0.00034006721175417875,0,1
9,0,3.564911698421258,3.550574823026925,0,0.44499836751870603,1.6197440972729924,0.025154491944931853,5247.215614559464,52.47215614559464,0.0,132.38112239058296,4.16484623749151,30999.21699601305,92057.80166234593,5019.407508542793,11047.266402435844,84159.10080304283,2.9112625226600035,2.9112625226600075,0.0,50000,1065.3199955289424,323.20152577190026,1,0.000498790083495735,0.0003909381532132404,0,1
10,0,3.4523458556709694,3.4718063730830617,0,0.4550945041894475,1.5942216669571272,0.009001055036156405,2770.7742372112757,27.707742372112758,0.0,127.38921556017644,4.220261722235735,31039.669135426542,92204.14128733544,5060.433159137991,10958.554764969093,84015.9642163195,2.47732311344896,2.4773231134489535,0.0,50000,1079.1738667149987,327.35768712771716,1,0.00026383311915123607,0.0003317780800252006,0,1
11,0,3.630023239255364,3.592439001935937,0,0.43981261731891635,1.6127077486482375,0.02070110673939079,2930.4609938655694,29.304609938655695,0.0,122.44337465388091,4.544294446531719,31171.712981334036,92626.04267168322,4963.797159607281,11172.947522219923,84167.08696757391,2.586589925144614,2.586589925144623,0.0,50000,1160.1820477889946,327.35768712771716,1,0.00027853747581826655,0.0003470535594884126,0,1
