epoch,year,xfg_price,oracle_price,oracle_stale,redemption_price,heat_price,peg_deviation,swap_volume,total_fees,cd_pool,swf_balance,yem_reserve,treasury,heat_supply,pool_xfg,pool_heat,cd_locked,cd_apy_mean,cd_apy_min,bonds_outstanding,bond_migrations_remaining,xfg_burned,heat_burned_lifetime,lag_complete,organic_rate,rolling_avg_rate,payout_queue_len,solvent
0,0,3.3846960880996892,3.4004352348325946,0,0.464646402853129,1.557165560925838,0.014452176629216556,3948.9113230299145,39.48911323029915,0.0,33.565746245754276,0.0,29979.405289708913,88510.64239593704,5047.757423476954,10971.938523197477,80635.387138409,0.015193698219208612,0.015193698219208475,0.0,50000,0.0,96.95254077181367,0,0.0,0.0,0,1
1,0,3.3940840685330533,3.378454427874552,0,0.4676694724557843,1.5759495476593826,0.00256357743077058,2430.2521195788063,24.302521195788064,0.0,54.222889262174135,0.0,29991.12810444022,88531.68047102517,5071.199004859353,10921.717498074331,81085.46848659012,0.024408016565837118,0.024408016565837125,0.0,50000,12.151260597894032,100.59791895118188,0,0.0,0.0,0,1
2,0,3.4970971817231065,3.5609354779263804,0,0.44370363063137347,1.6117163308846973,0.020073627142213463,6526.6395273574,65.266395273574,0.0,109.69932524471204,0.0,30511.782424345787,89704.80827473456,5052.953432537869,10963.88295489105,81285.16648431473,0.04925899207212225,0.04925899207212217,0.0,50000,380.02464525087385,100.59791895118188,1,0.0,0.0,0,1
3,0,3.571245407355616,3.6270629379904347,0,0.4356141668926747,1.6248997099048552,0.02841753791446528,7082.8657596330295,70.8286575963303,0.0,112.67455433390596,0.6926681405639452,30778.386320696176,90419.04518746743,5021.000238707177,11035.280475165086,81654.28140080164,5.116106276720702,5.1161062767206635,0.0,50000,553.1916803918601,100.59791895118188,1,0.0006939369878100226,0.0006939369878100226,0,1
4,0,3.338403589055064,3.350731460019926,0,0.47153883229741256,1.5937522115917484,0.008703931387182487,5338.472278163406,53.38472278163407,0.0,107.70166010025432,0.6926681405639452,30744.746939349745,90371.80947469705,5143.4665625041325,10773.925273677976,81907.43837624167,4.484029805937956,4.484029805937932,0.0,50000,553.1916803918601,254.0237685405726,1,0.000521415137281295,0.0006076760625456588,0,1
5,0,3.509529638788631,3.521257346129447,0,0.4487033592522654,1.630620318959852,0.03203817655686834,4788.721945494076,47.88721945494076,0.0,101.78782533231492,1.4609461033646087,31016.164500017305,91132.4703781203,5074.575542028678,10921.83941408375,82192.3917945707,4.136732536378024,4.136732536378019,0.0,50000,745.261171092026,254.0237685405726,1,0.0004660988046156749,0.0005604836432356641,0,1
6,0,4.068547067731556,4.099691777828977,0,0.38539482615366294,1.8343898116120663,0.16100620988105455,5587.574055354902,55.87574055354902,0.0,105.90697782551361,4.055655763340304,31860.112924288216,93240.2652119129,4999.430622848648,11088.384089444438,82232.3917945707,3.7726911995546857,3.772691199554686,0.0,50000,1393.9385860859497,254.0237685405726,1,0.0005435886208260639,0.0005103675209076778,0,1
7,0,2.2506101229768674,2.2193585366408426,0,0.711917418440845,1.0914624485446243,0.30920098193378215,1947.5760861646695,19.475760861646695,0.0,89.04363468013318,4.055655763340304,31846.09747518714,93085.64693741196,5185.307729057319,10692.173680668286,82272.3917945707,2.9572307369757427,2.9572307369757516,0.0,50000,1393.9385860859497,477.7887745712029,1,0.00018937833639529059,0.00039968858727900975,0,1
8,0,2.2489079145281217,2.240203854021487,0,0.7052929567832291,1.159507138665337,0.2661347223637108,1519.2999597322212,15.192999597322212,0.0,77.34644690351168,4.055655763340304,31823.61832563094,92938.66992793704,5346.809478549233,10370.339045626108,82312.3917945707,2.1771613579138926,2.177161357913914,0.0,50000,1393.9385860859497,672.5770801251173,1,0.00014766184547512407,0.0002935429342321595,0,1
9,0,1.5693278916018776,1.5671859811516105,0,1.0081764506590172,0.8581587953734457,0.4568615219155407,1328.4384832449687,13.284384832449687,0.0,75.45359635574641,4.055655763340304,31812.74622362184,92808.47835864662,5506.680236317106,10070.148941635678,82352.3917945707,1.1675930928221427,1.1675930928221485,0.0,50000,1393.9385860859497,826.8648455290185,1,0.00012904917069646538,0.00015536311752229335,0,1
10,0,1.5237578722683534,1.572102605290984,0,1.0050234600988748,0.907512324925821,0.42562511080644244,1721.820437508203,17.21820437508203,0.0,77.0460719806945,4.055655763340304,31794.728722705247,92626.61229496404,5747.2326628778865,9649.886589180824,82203.38563043914,1.1152862201800942,1.115286220180085,0.0,50000,1393.9385860859497,1029.794628123144,1,0.00016756686351085076,0.00014809262656081338,0,1
11,0,1.4913031859378971,1.5022626103556511,0,1.0517468710919624,0.9737303019113266,0.38371499879029963,2190.058061754039,21.900580617540392,0.0,80.0488228166675,4.055655763340304,31766.36432322419,92386.54295226563,6018.141758777791,9217.00183374649,82025.92119617481,1.2771378343492779,1.2771378343492823,0.0,50000,1393.9385860859497,1291.814036073706,1,0.00021359668064111132,0.00017007090494947582,0,1
12,0,1.5448235463147724,1.5426000466400456,0,1.0242447505699328,1.1267294330286548,0.2868801056780666,2643.4749872466814,26.434749872466814,0.0,83.32946111310343,4.055655763340304,31741.80702425904,92116.82557246722,6361.097619300895,8721.502336446865,82065.92119617481,1.5916125004115533,1.5916125004115673,0.0,50000,1393.9385860859497,1586.0455514512512,1,0.0002576928350980258,0.00021295212641666262,0,1
