epoch,year,xfg_price,oracle_price,oracle_stale,redemption_price,heat_price,peg_deviation,swap_volume,total_fees,cd_pool,swf_balance,yem_reserve,treasury,heat_supply,pool_xfg,pool_heat,cd_locked,cd_apy_mean,cd_apy_min,bonds_outstanding,bond_migrations_remaining,xfg_burned,heat_burned_lifetime,lag_complete,organic_rate,rolling_avg_rate,payout_queue_len,solvent
0,0,2.0284970191489786,2.0472876741999695,0,0.7717528024572442,0.9871246889653364,0.3752375386295339,2189.9007659706094,21.899007659706093,0.0,18.614156510750178,0.0,29985.721664952714,88358.68800818305,5191.56777864765,10668.439237129089,80344.49122718211,0.008456294915369691,0.00845629491536965,0.0,50000,0.0,248.9069285257981,0,0.0,0.0,0,1
1,0,2.1550609656268236,2.158128646053939,0,0.732115762834145,1.1154454123245634,0.29402189093382064,1765.6470770693438,17.65647077069344,0.0,33.622156665839604,0.0,29959.493540417243,88132.51690744754,5354.440069674619,10344.876279419734,80384.49122718211,0.01526673490828999,0.015266734908289914,0.0,50000,0.0,475.0780292612867,0,0.0,0.0,0,1
2,0,2.144591131289639,2.1709858749274797,0,0.727779953912772,1.1583515501997537,0.26686610746851036,1251.6781247928875,12.516781247928876,0.0,44.261420726579146,0.0,29932.758241428484,87960.77544744125,5469.945890797664,10127.14788011976,80424.49122718211,0.020087685130100338,0.020087685130100185,0.0,50000,0.0,646.8194892675824,1,0.0,0.0,0,1
3,0,2.112017551096116,2.0981396404917416,0,0.7530480667291024,1.2265708056298263,0.2236893635254264,2321.730615990968,23.217306159909683,0.0,45.19517460440176,0.0,29917.034843818856,87757.72841668855,5672.337302494106,9767.1295318766,80464.49122718211,1.7055808065629232,1.705580806562932,0.0,50000,0.0,882.2498763366439,1,0.0002308328138866455,0.0002308328138866455,0,1
4,0,1.9796883353865975,1.9869780879314507,0,0.7951773648620674,1.2284423545094212,0.2225048389180879,2505.9096699422503,25.059096699422504,0.0,46.74804478677119,0.0,29896.065884673353,87527.22929209602,5863.741994525003,9449.675506274367,80504.49122718211,1.7726601261546597,1.7726601261546755,0.0,50000,0.0,1144.2610610822258,1,0.0002490206080920998,0.00023992671098937266,0,1
5,0,1.8975816945648287,1.8906953910568012,0,0.8356713659289462,1.2316558226136347,0.22047099834580086,1780.3510738909208,17.803510738909207,0.0,44.01205170388285,0.0,29867.528561174688,87356.58686166028,5997.388778017653,9240.028708835855,80544.49122718211,1.617878224816647,1.6178782248166366,0.0,50000,0.0,1342.4332160315043,1,0.00017683156692807704,0.00021889499630227413,0,1
6,0,1.815486361561654,1.775177779931271,0,0.890051699532411,1.2856638962295046,0.18628867327246548,2729.3874238162234,27.293874238162235,0.0,47.111238763357534,0.0,29816.077585126735,87084.49486680244,6264.941126398663,8846.72518557923,80584.49122718211,1.7169126472810958,1.716912647281082,0.0,50000,0.0,1641.2770702528896,1,0.0002709590773362673,0.00023227041745214807,0,1
7,0,1.5944161666077472,1.6022205304030488,0,0.9861314157561949,1.2187726140294635,0.22862492782945354,2200.363012758976,22.00363012758976,0.0,47.67133494640127,0.0,29802.96336901341,86890.53583274083,6509.358654409805,8515.638235852373,80624.49122718211,1.6424799422055583,1.6424799422055447,0.0,50000,0.0,1858.9659640218783,1,0.0002183319712675233,0.00022204087184395584,0,1
8,0,1.7562483295732971,1.7804892086763746,0,0.8873965606197528,1.395126588896467,0.11700848804021079,2320.9803497390076,23.209803497390077,0.0,47.800330518151696,0.0,29781.976539848212,86771.25299013051,6636.072613794374,8353.787775001947,80724.32990766999,1.7719256838441955,1.771925683844203,0.0,50000,0.0,2002.9201855140284,1,0.00023001544663361578,0.00023976883174580213,0,1
9,0,1.2727381742449617,1.2775169859884616,0,1.2367741621670074,1.1097801368925087,0.2976075082958806,2845.632841629824,28.456328416298238,0.0,50.939406836841215,0.0,29783.37673484061,86516.40141541566,6953.1309537599045,7974.115683989449,80764.32990766999,1.7998841755120238,1.799884175512006,0.0,50000,0.0,2280.5960048130714,1,0.0002818702607829926,0.00024340589289471057,0,1
