epoch,year,xfg_price,oracle_price,oracle_stale,redemption_price,heat_price,peg_deviation,swap_volume,total_fees,cd_pool,swf_balance,yem_reserve,treasury,heat_supply,pool_xfg,pool_heat,cd_locked,cd_apy_mean,cd_apy_min,bonds_outstanding,bond_migrations_remaining,xfg_burned,heat_burned_lifetime,lag_complete,organic_rate,rolling_avg_rate,payout_queue_len,solvent
0,0,3.3436156903953957,3.306520815371949,0,0.47784365749479385,1.537401091239675,0.026961334658433624,2917.3442858800363,29.173442858800364,0.0,24.79742642998031,0.0,29968.148686143835,88483.68669010149,5046.347585229599,10975.045524104002,80109.03194032659,0.011298427190688107,0.011298427190688022,0.0,50000,0.0,123.90824660735791,0,0.0,0.0,0,1
1,0,3.299289869576544,3.2890005231386916,0,0.48038909963206905,1.516309497185093,0.04031044481956143,4978.747378148534,49.787473781485346,0.0,67.11677914424286,0.0,29939.760874446536,88289.39874288478,5045.435391045441,10978.203265350388,80322.53979760809,0.03049906595256625,0.0304990659525661,0.0,50000,0.0,318.19619382407006,0,0.0,0.0,0,1
2,0,3.5455218441632,3.5088459624461716,0,0.45029049918694986,1.600212238215942,0.01279255583287467,4618.10757584825,46.1810757584825,0.0,106.37069353895299,0.0,30037.45494543694,88563.06328191221,5000.131055626987,11078.576615042706,80614.76301774413,0.04816152983439534,0.048161529834395214,0.0,50000,95.60193798355172,318.19619382407006,1,0.0,0.0,0,1
3,0,3.366783467722059,3.348611176361496,0,0.47183740266816593,1.602338889924627,0.014138537926979017,5091.099467572895,50.91099467572895,0.0,108.37166205637574,0.10182198935145792,30060.18128463695,88693.84162265918,5134.784190514657,10789.04508381404,80926.04052263395,3.722853269795828,3.7228532697957952,0.0,50000,121.0574353214162,325.8328430254294,1,0.000503284177473033,0.000503284177473033,0,1
4,0,3.312556476450962,3.298515452924469,0,0.47900336455879555,1.6104620805167584,0.01927979779541668,2347.485347400961,23.47485347400961,0.0,97.92979852817155,0.14877169629947715,30074.0792040105,88776.29912923047,5189.90221811881,10675.100278834401,81297.29279619291,2.724114079554203,2.7241140795542176,0.0,50000,132.794862058421,329.3540710465308,1,0.00023100256027328792,0.0003671433688731605,0,1
5,0,3.3754259917443346,3.387231284305385,0,0.4664576662718231,1.5992725422055047,0.01219781152247131,1990.546781511499,19.90546781511499,0.0,89.09186942481459,0.36612391650795545,30254.172579342223,89206.90423589441,5123.743211633416,10814.17679298133,81527.38818554008,2.301942973190282,2.301942973190266,0.0,50000,187.13291711054057,329.3540710465308,1,0.0001953254557333701,0.000309870731159897,0,1
6,0,3.3137190026242678,3.3342860517736495,0,0.4738645621480288,1.5974152447624377,0.011022306811669373,3822.9711552274734,38.229711552274736,0.0,95.97102952929556,0.44258333961250496,30278.643357688772,89285.82086085415,5168.348897446945,10721.355020127603,82012.23989868136,1.9875422950282202,1.9875422950282218,0.0,50000,206.24777288667795,335.08852777937204,1,0.00037291713138920784,0.0002664150491319553,0,1
7,0,3.0960021991172377,3.0905954115841543,0,0.5112283523355571,1.5649895811737982,0.009500265079874627,3996.719314667078,39.96719314667078,0.0,101.09936254499203,0.44258333961250496,30252.710154921606,89223.85459741246,5292.745955115222,10470.582880248468,82408.64459347136,2.3716117458492123,2.371611745849199,0.0,50000,206.24777288667795,450.09749449677145,1,0.00038799029731729964,0.0003187442948132925,0,1
8,0,4.800069740292188,4.7353022266965,0,0.33366402488363645,1.9178183018087298,0.21380905177767703,7374.054617173272,73.74054617173272,0.0,115.5218482273814,4.867016109916469,31048.48730607622,92810.71983896442,4706.427082229051,11779.623857480745,82448.64459347136,3.643745652908138,3.643745652908141,0.0,50000,1312.3559654626688,450.09749449677145,1,0.0007155052363596703,0.0004921375550220593,0,1
9,0,4.528465401203446,4.494020330038229,0,0.35157829381394,1.8229917682117815,0.153792258361887,9241.548795986851,92.41548795986851,0.0,131.14998072706408,8.49475791045397,32017.539958827525,95637.8502110679,4724.76076114446,11736.70447058252,82488.64459347136,4.924136690016668,4.92413669001667,0.0,50000,2219.291415597044,450.09749449677145,1,0.0008962735505263262,0.0006665896947344322,0,1
10,0,4.49726113113378,4.486487549432601,0,0.3521685912624053,1.7008417633525423,0.07648212870414067,5385.438466775201,53.854384667752015,0.0,117.95129277386542,10.704481564249154,32584.488194163772,97719.86910223318,4580.326409576367,12111.017246595968,81793.85260644957,5.256346642920507,5.256346642920449,0.0,50000,2771.72232904584,450.09749449677145,1,0.0005267328333523737,0.0007128372067461234,0,1
11,0,4.387475944229129,4.486487549432601,1,0.3521685912624053,1.587509109556425,0.004752600985079133,6124.225750323542,61.24225750323542,0.0,114.09186580385918,10.826966079255625,32702.684029146585,98184.78692248318,4480.441541553794,12382.813657418856,82176.04065640886,4.9640915432989905,4.964091543298987,0.0,50000,2802.3434577974576,459.28383312225674,1,0.0005962054829027266,0.0006730706222604755,0,1
12,0,4.5771026192989925,4.689339049469127,0,0.3369344769768502,1.5792678154670792,0.00046340793222841685,5789.820416965818,57.898204169658186,0.0,116.42576657915411,11.876931889370436,32970.97208745317,99406.76305638581,4375.802414551368,12682.140734473436,82431.37845676971,4.151336672699537,4.151336672699563,0.0,50000,3064.8349103261603,459.28383312225674,1,0.0005619045101862253,0.0005616142754804419,0,1
