epoch,year,xfg_price,oracle_price,oracle_stale,redemption_price,heat_price,peg_deviation,swap_volume,total_fees,cd_pool,swf_balance,yem_reserve,treasury,heat_supply,pool_xfg,pool_heat,cd_locked,cd_apy_mean,cd_apy_min,bonds_outstanding,bond_migrations_remaining,xfg_burned,heat_burned_lifetime,lag_complete,organic_rate,rolling_avg_rate,payout_queue_len,solvent
0,0,3.3243777769474256,3.321875223393471,0,0.4756349633102554,1.5672260220097283,0.008084796196374557,4786.054219257473,47.860542192574734,0.0,40.68146086368853,0.0,29986.22599205639,88529.94593883835,5109.823061260853,10838.884749505263,81173.76109111935,0.018292528294430236,0.018292528294430364,0.0,50000,0.0,77.64899787050395,0,0.0,0.0,0,1
1,0,3.333475673310705,3.340550271540226,0,0.47297596849860013,1.5584398394383898,0.013645671241525477,6465.575682279421,64.65575682279422,0.0,95.63885416306361,0.0,29964.101716302,88380.1359175998,5088.75962649105,10884.768210460135,81510.18247264062,0.042826774165590116,0.042826774165590116,0.0,50000,0.0,227.4590191090473,0,0.0,0.0,0,1
2,0,3.438281070590945,3.414040737992886,0,0.4627947119719731,1.5846852928152746,0.0029653751995408367,2001.8219529104665,20.018219529104666,0.0,112.65434076280258,0.0,30057.358126307077,88606.76619310335,5052.848626773601,10963.131837446977,81866.82016029765,0.05022649505368689,0.05022649505368726,0.0,50000,37.68824830009709,227.4590191090473,1,0.0,0.0,0,1
3,0,3.7319979428623156,3.6958189792023592,0,0.4275101158609775,1.647844968654572,0.042939853578842974,2542.1016249785907,25.421016249785907,0.0,113.35576461741539,0.5064335654660318,30318.316038111137,89251.44397770021,4945.940723412188,11201.442463585621,82040.4311116937,1.8600124138735077,1.8600124138735168,0.0,50000,164.29663966660505,227.4590191090473,1,0.0002478876905478621,0.0002478876905478621,0,1
4,0,3.653364369445347,3.730940469188222,0,0.42348571708617383,1.5735370864243905,0.0040904516301326415,5488.557932011714,54.88557932011714,0.0,122.79695399310056,0.7410087860891458,30470.749774832097,89668.04031788523,4885.209073187105,11342.248568051451,82393.87876093356,2.9043073030056057,2.9043073030056172,0.0,50000,222.94044482238354,227.4590191090473,1,0.0005329092903065583,0.0003903984904272102,0,1
5,0,3.290112865974304,3.3586295523358247,0,0.4704299701350386,1.5266613343455102,0.0337586491484113,6873.646761785892,68.73646761785892,0.0,134.95811791624246,0.7410087860891458,30448.19938845498,89474.9772350564,5070.947447178861,10928.415532181707,82560.69170013667,3.5803147959038646,3.580314795903887,0.0,50000,222.94044482238354,508.1303245438503,1,0.0006660454625793319,0.0004822808144779174,0,1
6,0,2.727247859440165,2.7415525965315592,0,0.5763157715810074,1.3650259323177638,0.13605953650774447,2530.170291173015,25.30170291173015,0.0,116.02483129759557,0.7410087860891458,30416.953422317027,89334.63176814896,5266.946587410055,10523.07393304225,82600.69170013667,3.5650163727808986,3.5650163727808835,0.0,50000,222.94044482238354,729.6530811156686,1,0.0002450507606263863,0.0004813351711707588,0,1
7,0,2.723790155733546,2.695392688270517,0,0.5861854589409745,1.449887584837935,0.08234962984940833,4668.068118800723,46.68068118800723,0.0,117.54041144264528,0.7410087860891458,30409.426893239146,89175.88597100877,5432.03578196093,10204.739831710049,82723.50026687648,3.36736256621368,3.3673625662136857,0.0,50000,222.94044482238354,960.3833613541129,1,0.00045143816243180664,0.00045417812854584163,0,1
8,0,2.2220168225042354,2.1791003718182655,0,0.7250698593023646,1.2921507390896134,0.18218307652556115,2559.880846104411,25.59880846104411,0.0,112.66432756245808,0.7410087860891458,30387.186738699016,88985.3467403313,5678.022991704952,9764.07954928178,82763.50026687648,2.346581806144377,2.3465818061443677,0.0,50000,222.94044482238354,1196.8027820896154,1,0.0002474405589758677,0.0003146431606780202,0,1
9,0,2.1739364256405005,2.1604954326045474,0,0.7313137422814446,1.3800959201912724,0.12652156949919474,3931.011519995515,39.31011519995515,0.0,115.29125980755518,0.7410087860891458,30353.361821404404,88726.02074984455,5933.063726040983,9345.802100407087,82803.50026687648,2.6755856763504635,2.6755856763504515,0.0,50000,222.94044482238354,1504.031150491637,1,0.0003797918211018449,0.00035955684750317313,0,1
10,0,2.1831797083781557,2.2234483468072472,0,0.7106079177727674,1.4546143607142092,0.07935799954796888,2525.146957164475,25.25146957164475,0.0,112.1257151623882,0.7410087860891458,30317.92477469253,88609.7130626031,6078.546631438822,9123.077580281719,82805.67112965713,2.1693226543504545,2.1693226543504442,0.0,50000,222.94044482238354,1657.343121165401,1,0.00024395884221123935,0.0002903970740963173,0,1
11,0,2.257190379468347,2.2428272085844645,0,0.7044680009019507,1.553981537079272,0.016467381595397512,2889.359328573932,28.89359328573932,0.0,111.12598616158346,0.7410087860891458,30292.23489949969,88564.39472000388,6179.143831266833,8975.334440267025,83141.26522063123,2.243092484011558,2.2430924840115765,0.0,50000,222.94044482238354,1739.8292160697245,1,0.00027801927920211126,0.00030058998083839854,0,1
12,0,2.3493834185852474,2.3431716009278856,0,0.6742997394532808,1.6123747512919702,0.020490348918968414,3785.416054937535,37.85416054937535,0.0,116.14184159080087,1.3043675668340045,30487.22590856606,88968.66017432287,6169.972926434793,8990.237582714984,82868.68296375907,2.210533491653111,2.2105334916531216,0.0,50000,363.7801400085982,1739.8292160697245,1,0.0003654375495836476,0.0002958052236656661,0,1
13,0,2.0966814263463953,2.110135460225388,0,0.7487670956589852,1.4908938474178501,0.056396299102626536,2668.411660900456,26.68411660900456,0.0,113.29180097771919,1.3043675668340045,30436.583554637025,88844.39498302113,6280.6913440497065,8832.69382893419,83121.63738259474,2.2404216387365907,2.2404216387365774,0.0,50000,363.7801400085982,1900.0384509508724,1,0.0002568199323233455,0.0003000922537030348,0,1
14,0,2.235796175669262,2.229575642547832,0,0.7086550327552315,1.6040605068921114,0.015228168919057827,2146.7508189218893,21.467508189218893,0.0,107.9184562658434,1.3473025832124423,30446.754686076743,88888.51217178979,6308.868208724491,8793.523282483211,83522.81383853404,2.0616642509106327,2.061664250910612,0.0,50000,374.51389410320763,1903.2585771792553,1,0.0002056205455981863,0.00027595934250172646,0,1
15,0,2.302002803910083,2.2931340698086258,0,0.6890133554781032,1.6046154826456467,0.015579419395978868,2323.9435527886244,23.239435527886243,0.0,108.10097947485676,1.593615962232907,30608.879807811416,89164.92240188929,6218.82005004964,8921.602307253763,83222.03172849747,1.7162826379678064,1.716282637967819,0.0,50000,436.0922388583238,1903.2585771792553,1,0.0002233969543421126,0.00022861247742121484,0,1
16,0,2.4412746109523495,2.4243685268806314,0,0.6517160994632044,1.617465616303787,0.023712415382143654,3008.0893275754534,30.080893275754534,0.0,111.73127162085437,1.885945363794015,30719.701077131747,89398.06902145738,6063.251298732958,9151.391724323712,83572.61993524131,1.7934184726141187,1.7934184726141082,0.0,50000,509.1745892486008,1903.2585771792553,1,0.0002879497452544969,0.00023898908173159862,0,1
17,0,2.503511846166655,2.4953955477965115,0,0.633166153315924,1.6062244634833678,0.016597761698333994,2885.8959969813254,28.858959969813256,0.0,113.51258491145704,2.1926506547180122,30887.548401765744,89714.88782683527,5966.864692419733,9300.14252774518,83671.01270156441,1.9652194174184046,1.9652194174183921,0.0,50000,585.8509119796001,1903.2585771792553,1,0.00027592791374710996,0.00026242487111457314,0,1
18,0,2.2871156574778824,2.2969957656915914,0,0.6878549902438699,1.5061719095655564,0.0467266395154707,2424.192795947614,24.24192795947614,0.0,111.35039817942868,2.1926506547180122,30844.999877556013,89616.54755069167,6045.418384670871,9179.942180420538,83686.70606506926,1.9845680706918427,1.9845680706918605,0.0,50000,585.8509119796001,2036.1982871816592,1,0.00023173982200353033,0.0002652058270017124,0,1
